,Author1,Author2,nPapers,nCitations,id1,id2
0,Albert Laszlo Barabasi,Deisy Morselli Gysi,1,0,0,77
1,Albert Laszlo Barabasi,Italo do Valle,1,0,0,2
2,Albert Laszlo Barabasi,Marinka Zitnik,2,0,0,3
3,Albert Laszlo Barabasi,Asher Ameli,2,0,0,4
4,Albert Laszlo Barabasi,Onur Varol,3,0,0,5
5,Albert Laszlo Barabasi,Susan Dina Ghiassian,6,0,0,6
6,Albert Laszlo Barabasi,Robert Davey,1,0,0,7
7,Albert Laszlo Barabasi,Joseph Loscalzo,13,0,0,8
8,Albert Laszlo Barabasi,Mirco Nanni,1,0,0,9
9,Albert Laszlo Barabasi,Gennady Andrienko,1,0,0,10
10,Albert Laszlo Barabasi,Chiara Boldrini,1,0,0,11
11,Albert Laszlo Barabasi,Francesco Bonchi,1,0,0,12
12,Albert Laszlo Barabasi,Ciro Cattuto,1,0,0,13
13,Albert Laszlo Barabasi,Francesca Chiaromonte,1,0,0,14
14,Albert Laszlo Barabasi,Giovanni Comande,1,0,0,15
15,Albert Laszlo Barabasi,Marco Conti,1,0,0,16
16,Albert Laszlo Barabasi,Mark Cote,1,0,0,17
17,Albert Laszlo Barabasi,Frank Dignum,1,0,0,18
18,Albert Laszlo Barabasi,Virginia Dignum,1,0,0,19
19,Albert Laszlo Barabasi,Josep Domingo-Ferrer,1,0,0,20
20,Albert Laszlo Barabasi,Paolo Ferragina,1,0,0,21
21,Albert Laszlo Barabasi,Fosca Giannotti,2,0,0,22
22,Albert Laszlo Barabasi,Riccardo Guidotti,1,0,0,23
23,Albert Laszlo Barabasi,Dirk Helbing,3,0,0,24
24,Albert Laszlo Barabasi,Kimmo Kaski,3,0,0,25
25,Albert Laszlo Barabasi,Janos Kertesz,3,0,0,26
26,Albert Laszlo Barabasi,Sune Lehmann,2,0,0,27
27,Albert Laszlo Barabasi,Bruno Lepri,1,0,0,28
28,Albert Laszlo Barabasi,Paul Lukowicz,1,0,0,29
29,Albert Laszlo Barabasi,Stan Matwin,1,0,0,30
30,Albert Laszlo Barabasi,David Megias Jimenez,1,0,0,31
31,Albert Laszlo Barabasi,Anna Monreale,1,0,0,32
32,Albert Laszlo Barabasi,Katharina Morik,1,0,0,33
33,Albert Laszlo Barabasi,Nuria Oliver,1,0,0,34
34,Albert Laszlo Barabasi,Andrea Passarella,1,0,0,35
35,Albert Laszlo Barabasi,Andrea Passerini,1,0,0,36
36,Albert Laszlo Barabasi,Dino Pedreschi,2,0,0,37
37,Albert Laszlo Barabasi,Alex Pentland,2,0,0,38
38,Albert Laszlo Barabasi,Fabio Pianesi,1,0,0,39
39,Albert Laszlo Barabasi,Francesca Pratesi,1,0,0,40
40,Albert Laszlo Barabasi,Salvatore Rinzivillo,2,0,0,41
41,Albert Laszlo Barabasi,Salvatore Ruggieri,1,0,0,42
42,Albert Laszlo Barabasi,Arno Siebes,1,0,0,43
43,Albert Laszlo Barabasi,Vicenc Torra,1,0,0,44
44,Albert Laszlo Barabasi,Roberto Trasarti,1,0,0,45
45,Albert Laszlo Barabasi,Jeroen van den Hoven,1,0,0,46
46,Albert Laszlo Barabasi,Alessandro Vespignani,2,0,0,47
47,Albert Laszlo Barabasi,Amar Dhand,1,0,0,48
48,Albert Laszlo Barabasi,Liam McCafferty,1,0,0,49
49,Albert Laszlo Barabasi,Rachel Grashow,1,0,0,50
50,Albert Laszlo Barabasi,Ian Corbin,1,0,0,51
51,Albert Laszlo Barabasi,Sarah Cohan,1,0,0,52
52,Albert Laszlo Barabasi,Alicia Whittington,1,0,0,53
53,Albert Laszlo Barabasi,Ann Connor,1,0,0,54
54,Albert Laszlo Barabasi,Aaron Baggish,1,0,0,55
55,Albert Laszlo Barabasi,Mark Weisskopf,1,0,0,56
56,Albert Laszlo Barabasi,Ross Zafonte,1,0,0,57
57,Albert Laszlo Barabasi,Alvaro Pascual-Leone,1,0,0,58
58,Albert Laszlo Barabasi,Istvan Kovacs,6,0,0,59
59,Albert Laszlo Barabasi,Daniel Barabasi,2,0,0,60
60,Albert Laszlo Barabasi,Soodabeh Milanlouei,2,0,0,61
61,Albert Laszlo Barabasi,Giulia Menichetti,2,0,0,62
62,Albert Laszlo Barabasi,Enrico Maiorino,2,0,0,63
63,Albert Laszlo Barabasi,Seung Han Baek,2,0,0,64
64,Albert Laszlo Barabasi,Parul Kothari,2,0,0,65
65,Albert Laszlo Barabasi,Benjamin Raby,3,0,0,66
66,Albert Laszlo Barabasi,Amitabh Sharma,16,0,0,67
67,Albert Laszlo Barabasi,Bradley Maron,3,0,0,68
68,Albert Laszlo Barabasi,Lucia Altucci,2,0,0,69
69,Albert Laszlo Barabasi,Jean Luc Balligand,2,0,0,70
70,Albert Laszlo Barabasi,Jan Baumbach,2,0,0,71
71,Albert Laszlo Barabasi,Peter Ferdinandy,3,0,0,72
72,Albert Laszlo Barabasi,Sebastiano Filetti,2,0,0,73
73,Albert Laszlo Barabasi,Paolo Parini,2,0,0,74
74,Albert Laszlo Barabasi,Enrico Petrillo,2,0,0,75
75,Albert Laszlo Barabasi,Alexander Gates,3,0,0,76
76,Albert Laszlo Barabasi,Deisy Morselli Gysi,2,0,0,77
77,Albert Laszlo Barabasi,Manolis Kellis,1,0,0,78
78,Albert Laszlo Barabasi,Forrest Hooton,1,0,0,79
79,Albert Laszlo Barabasi,Junming Huang,1,0,0,80
80,Albert Laszlo Barabasi,Roberta Sinatra,6,0,0,81
81,Albert Laszlo Barabasi,Qing Ke,1,0,0,82
82,Albert Laszlo Barabasi,Italo Do Valle,1,0,0,83
83,Albert Laszlo Barabasi,Helia Sanchez,1,0,0,84
84,Albert Laszlo Barabasi,Rebecca Marlene Baron,1,0,0,85
85,Albert Laszlo Barabasi,Dina Ghiassian,1,0,0,86
86,Albert Laszlo Barabasi,Emma Towlson,4,0,0,87
87,Albert Laszlo Barabasi,Emma Schymanski,1,0,0,88
88,Albert Laszlo Barabasi,Gary Miller,1,0,0,89
89,Albert Laszlo Barabasi,Feixiong Cheng,3,0,0,90
90,Albert Laszlo Barabasi,Jianxi Gao,5,0,0,91
91,Albert Laszlo Barabasi,Baruch Barzel,7,0,0,92
92,Albert Laszlo Barabasi,Katja Luck,2,0,0,93
93,Albert Laszlo Barabasi,Kerstin Spirohn,2,0,0,94
94,Albert Laszlo Barabasi,Carl Pollis,1,0,0,95
95,Albert Laszlo Barabasi,Sadie Schlabach,1,0,0,96
96,Albert Laszlo Barabasi,Wenting Bian,1,0,0,97
97,Albert Laszlo Barabasi,Dae Kyum Kim,1,0,0,98
98,Albert Laszlo Barabasi,Nishka Kishore,1,0,0,99
99,Albert Laszlo Barabasi,Tong Hao,8,0,0,100
100,Albert Laszlo Barabasi,Michael Calderwood,6,0,0,101
101,Albert Laszlo Barabasi,Marc Vidal,17,0,0,102
102,Albert Laszlo Barabasi,Vedran Sekara,1,0,0,103
103,Albert Laszlo Barabasi,Pierre Deville,4,0,0,104
104,Albert Laszlo Barabasi,Sebastian Ahnert,2,0,0,105
105,Albert Laszlo Barabasi,Rishi Desai,1,0,0,106
106,Albert Laszlo Barabasi,Diane Handy,1,0,0,107
107,Albert Laszlo Barabasi,Ruisheng Wang,2,0,0,108
108,Albert Laszlo Barabasi,Sebastian Schneeweiss,1,0,0,109
109,Albert Laszlo Barabasi,Arda Halu,3,0,0,110
110,Albert Laszlo Barabasi,Julius Decano,2,0,0,111
111,Albert Laszlo Barabasi,Megha Padi,3,0,0,112
112,Albert Laszlo Barabasi,Rashmi Prasad,1,0,0,113
113,Albert Laszlo Barabasi,Joao Fadista,1,0,0,114
114,Albert Laszlo Barabasi,Marc Santolini,2,0,0,115
115,Albert Laszlo Barabasi,Jorg Menche,16,0,0,116
116,Albert Laszlo Barabasi,Masanori Aikawa,4,0,0,117
117,Albert Laszlo Barabasi,Leif Groop,1,0,0,118
118,Albert Laszlo Barabasi,Cristian Candia,1,0,0,119
119,Albert Laszlo Barabasi,Carlos Rodriguez-Sickert,1,0,0,120
120,Albert Laszlo Barabasi,Cesar Hidalgo,6,0,0,121
121,Albert Laszlo Barabasi,Toshiaki Nakano,1,0,0,122
122,Albert Laszlo Barabasi,Shunsuke Katsuki,1,0,0,123
123,Albert Laszlo Barabasi,Mingxian Chen,1,0,0,124
124,Albert Laszlo Barabasi,Lang Ho Lee,1,0,0,125
125,Albert Laszlo Barabasi,Rodrigo Kuromoto,1,0,0,128
126,Albert Laszlo Barabasi,Whitney Golden,1,0,0,129
127,Albert Laszlo Barabasi,Mario Boff,1,0,0,130
128,Albert Laszlo Barabasi,Hideyuki Higashi,1,0,0,131
129,Albert Laszlo Barabasi,Kevin Kauffman,1,0,0,132
130,Albert Laszlo Barabasi,Takashi Maejima,1,0,0,133
131,Albert Laszlo Barabasi,Takehiro Suzuki,1,0,0,134
132,Albert Laszlo Barabasi,Hiroshi Iwata,3,0,0,135
133,Albert Laszlo Barabasi,Jon Aster,1,0,0,136
134,Albert Laszlo Barabasi,Sasha Singh,3,0,0,137
135,Albert Laszlo Barabasi,Elena Aikawa,2,0,0,138
136,Albert Laszlo Barabasi,Nima Dehmamy,1,0,0,139
137,Albert Laszlo Barabasi,Samuel Fraiberger,1,0,0,140
138,Albert Laszlo Barabasi,Magnus Resch,1,0,0,141
139,Albert Laszlo Barabasi,Christoph Riedl,1,0,0,142
140,Albert Laszlo Barabasi,Stephen Kosack,1,0,0,143
141,Albert Laszlo Barabasi,Michele Coscia,1,0,0,144
142,Albert Laszlo Barabasi,Evann Smith,1,0,0,145
143,Albert Laszlo Barabasi,Ricardo Hausmann,1,0,0,146
144,Albert Laszlo Barabasi,Petra Vertes,3,0,0,147
145,Albert Laszlo Barabasi,Gang Yan,3,0,0,148
146,Albert Laszlo Barabasi,Yee Lian Chew,3,0,0,149
147,Albert Laszlo Barabasi,Denise Walker,3,0,0,150
148,Albert Laszlo Barabasi,William Schafer,3,0,0,151
149,Albert Laszlo Barabasi,Santo Fortunato,1,0,0,152
150,Albert Laszlo Barabasi,Carl Bergstrom,1,0,0,153
151,Albert Laszlo Barabasi,Katy Borner,1,0,0,154
152,Albert Laszlo Barabasi,Stasa Milojevic,1,0,0,155
153,Albert Laszlo Barabasi,Alexander Petersen,1,0,0,156
154,Albert Laszlo Barabasi,Filippo Radicchi,1,0,0,157
155,Albert Laszlo Barabasi,Brian Uzzi,1,0,0,158
156,Albert Laszlo Barabasi,Ludo Waltman,1,0,0,159
157,Albert Laszlo Barabasi,Dashun Wang,9,0,0,160
158,Albert Laszlo Barabasi,Emre Guney,3,0,0,161
159,Albert Laszlo Barabasi,Patrick Branigan,1,0,0,162
160,Albert Laszlo Barabasi,Matthew Loza,1,0,0,163
161,Albert Laszlo Barabasi,Frederic Baribaud,2,0,0,164
162,Albert Laszlo Barabasi,Radu Dobrin,3,0,0,165
163,Albert Laszlo Barabasi,Sergio Pequito,2,0,0,166
164,Albert Laszlo Barabasi,Victor Preciado,2,0,0,167
165,Albert Laszlo Barabasi,George Pappas,2,0,0,168
166,Albert Laszlo Barabasi,Cinzia Perrino,1,0,0,169
167,Albert Laszlo Barabasi,Gianluigi Condorelli,1,0,0,170
168,Albert Laszlo Barabasi,Sean Michael Davidson,1,0,0,171
169,Albert Laszlo Barabasi,Leon De Windt,1,0,0,172
170,Albert Laszlo Barabasi,Stefanie Dimmeler,1,0,0,173
171,Albert Laszlo Barabasi,Felix Benedikt Engel,1,0,0,174
172,Albert Laszlo Barabasi,Derek John Hausenloy,1,0,0,175
173,Albert Laszlo Barabasi,Joseph Addison Hill,1,0,0,176
174,Albert Laszlo Barabasi,Linda Wilhelmina Van Laake,1,0,0,177
175,Albert Laszlo Barabasi,Sandrine Lecour,1,0,0,178
176,Albert Laszlo Barabasi,Jonathan Leor,1,0,0,179
177,Albert Laszlo Barabasi,Rosalinda Madonna,1,0,0,180
178,Albert Laszlo Barabasi,Manuel Mayr,1,0,0,181
179,Albert Laszlo Barabasi,Fabrice Prunier,1,0,0,182
180,Albert Laszlo Barabasi,Joost Petrus Geradus Sluijter,1,0,0,183
181,Albert Laszlo Barabasi,Rainer Schulz,1,0,0,184
182,Albert Laszlo Barabasi,Thomas Thum,1,0,0,185
183,Albert Laszlo Barabasi,Kirsti Ytrehus,1,0,0,186
184,Albert Laszlo Barabasi,David Gomez-Cabrero,2,0,0,187
185,Albert Laszlo Barabasi,Claudia Vargas,1,0,0,188
186,Albert Laszlo Barabasi,Isaac Cano,2,0,0,189
187,Albert Laszlo Barabasi,Dieter Maier,2,0,0,190
188,Albert Laszlo Barabasi,Jesper Tegner,2,0,0,191
189,Albert Laszlo Barabasi,Josep Roca,2,0,0,192
190,Albert Laszlo Barabasi,Chaoming Song,9,0,0,193
191,Albert Laszlo Barabasi,Sebastian Grauwin,1,0,0,194
192,Albert Laszlo Barabasi,Michael Szell,1,0,0,195
193,Albert Laszlo Barabasi,Stanislav Sobolevsky,1,0,0,196
194,Albert Laszlo Barabasi,Philipp Hovel,1,0,0,197
195,Albert Laszlo Barabasi,Filippo Simini,3,0,0,198
196,Albert Laszlo Barabasi,Maarten Vanhoof,1,0,0,199
197,Albert Laszlo Barabasi,Zbigniew Smoreda,1,0,0,200
198,Albert Laszlo Barabasi,Carlo Ratti,1,0,0,201
199,Albert Laszlo Barabasi,Marco Tulio Angulo,1,0,0,202
200,Albert Laszlo Barabasi,Jaime Moreno,1,0,0,203
201,Albert Laszlo Barabasi,Gabor Lippner,1,0,0,204
202,Albert Laszlo Barabasi,Georg Basler,1,0,0,205
203,Albert Laszlo Barabasi,Zoran Nikoloski,1,0,0,206
204,Albert Laszlo Barabasi,Abdelhalim Larhlimi,1,0,0,207
205,Albert Laszlo Barabasi,Arunachalam Vinayagam,2,0,0,208
206,Albert Laszlo Barabasi,Travis Gibson,1,0,0,209
207,Albert Laszlo Barabasi,Ho Joon Lee,1,0,0,210
208,Albert Laszlo Barabasi,Bahar Yilmazel,1,0,0,211
209,Albert Laszlo Barabasi,Charles Roesel,1,0,0,212
210,Albert Laszlo Barabasi,Yanhui Hu,1,0,0,213
211,Albert Laszlo Barabasi,Young Kwon,1,0,0,214
212,Albert Laszlo Barabasi,Norbert Perrimon,1,0,0,215
213,Albert Laszlo Barabasi,Quan Zhong,3,0,0,216
214,Albert Laszlo Barabasi,Samuel Pevzner,4,0,0,217
215,Albert Laszlo Barabasi,Roberto Mosca,2,0,0,218
216,Albert Laszlo Barabasi,Mikko Taipale,2,0,0,219
217,Albert Laszlo Barabasi,Murat Tasan,4,0,0,220
218,Albert Laszlo Barabasi,Changyu Fan,5,0,0,221
219,Albert Laszlo Barabasi,Xinping Yang,3,0,0,222
220,Albert Laszlo Barabasi,Patrick Haley,1,0,0,223
221,Albert Laszlo Barabasi,Ryan Murray,4,0,0,224
222,Albert Laszlo Barabasi,Flora Mer,1,0,0,225
223,Albert Laszlo Barabasi,Fana Gebreab,4,0,0,226
224,Albert Laszlo Barabasi,Stanley Tam,3,0,0,227
225,Albert Laszlo Barabasi,Andrew MacWilliams,2,0,0,228
226,Albert Laszlo Barabasi,Amelie Dricot,7,0,0,229
227,Albert Laszlo Barabasi,Patrick Reichert,2,0,0,230
228,Albert Laszlo Barabasi,Balaji Santhanam,2,0,0,231
229,Albert Laszlo Barabasi,Lila Ghamsari,2,0,0,232
230,Albert Laszlo Barabasi,Thomas Rolland,3,0,0,233
