,Author1,Author2,nPapers,nCitations,id1,id2
0,Seth Rhoades,Sibel Cal-Kayitmazbatir,1,0,0,1
1,Seth Rhoades,Eylem Kulkoyluoglu-Cotul,1,0,0,2
2,Seth Rhoades,Jacqueline Growe,4,0,0,3
3,Seth Rhoades,Christopher Selby,3,0,0,4
4,Seth Rhoades,Dania Malik,4,0,0,5
5,Seth Rhoades,Hasimcan Oner,1,0,0,6
6,Seth Rhoades,Hande Asimgil,1,0,0,7
7,Seth Rhoades,Lauren Francey,3,0,0,8
8,Seth Rhoades,Aziz Sancar,3,0,0,9
9,Seth Rhoades,Warren Kruger,1,0,0,10
10,Seth Rhoades,John Hogenesch,4,0,0,11
11,Seth Rhoades,Aalim Weljie,15,0,0,12
12,Seth Rhoades,Ron Anafi,3,0,0,13
13,Seth Rhoades,Ibrahim Halil Kavakli,1,0,0,14
14,Seth Rhoades,Pearl Lee,1,0,0,15
15,Seth Rhoades,Nicholas Perkons,1,0,0,16
16,Seth Rhoades,Peiwei Huangyang,1,0,0,17
17,Seth Rhoades,Sanika Khare,1,0,0,18
18,Seth Rhoades,Michelle Burrows,1,0,0,19
19,Seth Rhoades,Jennifer Finan,1,0,0,20
20,Seth Rhoades,Itzhak Nissim,1,0,0,21
21,Seth Rhoades,M Celeste Simon,1,0,0,23
22,Seth Rhoades,Annie Hsieh,1,0,0,24
23,Seth Rhoades,Xiangzhong Zheng,1,0,0,25
24,Seth Rhoades,Zhifeng Yue,2,0,0,26
25,Seth Rhoades,Zachary Stine,1,0,0,27
26,Seth Rhoades,Anthony Mancuso,1,0,0,28
27,Seth Rhoades,Rebekah Brooks,1,0,0,29
28,Seth Rhoades,Robert Eisenman,1,0,0,30
29,Seth Rhoades,Amita Sehgal,3,0,0,31
30,Seth Rhoades,Chi Dang,3,0,0,32
31,Seth Rhoades,Jacob Hughey,2,0,0,33
32,Seth Rhoades,Darwin Fu,1,0,0,34
33,Seth Rhoades,Lisa Bastarache,2,0,0,35
34,Seth Rhoades,Joshua Denny,2,0,0,36
35,Seth Rhoades,Qingxia Chen,1,0,0,37
36,Seth Rhoades,Emanuela Ricciotti,1,0,0,38
37,Seth Rhoades,Cecilia Castro,1,0,0,39
38,Seth Rhoades,Soon Yew Tang,1,0,0,40
39,Seth Rhoades,James West,1,0,0,42
40,Seth Rhoades,Xuanwen Li,1,0,0,43
41,Seth Rhoades,Nicholas Lahens,2,0,0,44
42,Seth Rhoades,Jeffrey Sparks,1,0,0,45
43,Seth Rhoades,Elizabeth Karlson,1,0,0,46
44,Seth Rhoades,Julian Griffin,1,0,0,47
45,Seth Rhoades,Garret FitzGerald,2,0,0,48
46,Seth Rhoades,Katrina Nayak,1,0,0,49
47,Seth Rhoades,Shirley Zhang,1,0,0,50
48,Seth Rhoades,Carsten Skarke,1,0,0,51
49,Seth Rhoades,Amy Campbell,1,0,0,52
50,Seth Rhoades,Kyle Bittinger,1,0,0,53
51,Seth Rhoades,Aubrey Bailey,1,0,0,54
52,Seth Rhoades,Christian Hoffmann,1,0,0,55
53,Seth Rhoades,Randal Olson,1,0,0,56
54,Seth Rhoades,Guangrui Yang,1,0,0,57
55,Seth Rhoades,Frederic Bushman,1,0,0,58
56,Seth Rhoades,Casey Greene,1,0,0,59
57,Seth Rhoades,Gregory Grant,2,0,0,60
58,Seth Rhoades,Saikumari Krishnaiah,3,0,0,61
59,Seth Rhoades,Brian Altman,2,0,0,62
60,Seth Rhoades,Faith Coldren,2,0,0,63
61,Seth Rhoades,Anand Venkataraman,3,0,0,64
62,Seth Rhoades,Anthony Olarerin-George,3,0,0,65
63,Seth Rhoades,Sarmistha Mukherjee,2,0,0,66
64,Seth Rhoades,Saiveda Girish,2,0,0,67
65,Seth Rhoades,Sibel Cal,2,0,0,68
66,Seth Rhoades,Ubeydullah Er,2,0,0,69
67,Seth Rhoades,Bahareh Sianati,2,0,0,70
68,Seth Rhoades,Arjun Sengupta,6,0,0,71
69,Seth Rhoades,I Halil Kavakli,2,0,0,72
70,Seth Rhoades,Joseph Baur,2,0,0,73
71,Seth Rhoades,Eun Ji Kim,1,0,0,74
72,Seth Rhoades,Soumyashant Nayak,1,0,0,75
73,Seth Rhoades,Peter Meerlo,1,0,0,76
74,Seth Rhoades,Sharanya Sivanand,1,0,0,77
75,Seth Rhoades,Qinqin Jiang,1,0,0,78
76,Seth Rhoades,Joyce Lee,1,0,0,79
77,Seth Rhoades,Joseph Benci,1,0,0,80
78,Seth Rhoades,Salina Yuan,1,0,0,81
79,Seth Rhoades,Isabella Viney,1,0,0,82
80,Seth Rhoades,Steven Zhao,1,0,0,83
81,Seth Rhoades,Alessandro Carrer,1,0,0,84
82,Seth Rhoades,Andy Minn,1,0,0,85
83,Seth Rhoades,Roger Greenberg,1,0,0,86
84,Seth Rhoades,Kathryn Wellen,1,0,0,87
85,Seth Rhoades,Barry Slaff,1,0,0,88
86,Seth Rhoades,Chi Van Dang,1,0,0,89
87,Seth Rhoades,Sarah Maguire,1,0,0,90
88,Seth Rhoades,Jason Lim,1,0,0,91
89,Seth Rhoades,Claire Mitchell,1,0,0,92
90,Sibel Cal-Kayitmazbatir,Eylem Kulkoyluoglu-Cotul,1,0,1,2
91,Sibel Cal-Kayitmazbatir,Jacqueline Growe,1,0,1,3
92,Sibel Cal-Kayitmazbatir,Christopher Selby,1,0,1,4
93,Sibel Cal-Kayitmazbatir,Dania Malik,1,0,1,5
94,Sibel Cal-Kayitmazbatir,Hasimcan Oner,1,0,1,6
95,Sibel Cal-Kayitmazbatir,Hande Asimgil,1,0,1,7
96,Sibel Cal-Kayitmazbatir,Lauren Francey,1,0,1,8
97,Sibel Cal-Kayitmazbatir,Aziz Sancar,1,0,1,9
98,Sibel Cal-Kayitmazbatir,Warren Kruger,1,0,1,10
99,Sibel Cal-Kayitmazbatir,John Hogenesch,1,0,1,11
100,Sibel Cal-Kayitmazbatir,Aalim Weljie,1,0,1,12
101,Sibel Cal-Kayitmazbatir,Ron Anafi,1,0,1,13
102,Sibel Cal-Kayitmazbatir,Ibrahim Halil Kavakli,1,0,1,14
103,Eylem Kulkoyluoglu-Cotul,Jacqueline Growe,1,0,2,3
104,Eylem Kulkoyluoglu-Cotul,Christopher Selby,1,0,2,4
105,Eylem Kulkoyluoglu-Cotul,Dania Malik,1,0,2,5
106,Eylem Kulkoyluoglu-Cotul,Hasimcan Oner,1,0,2,6
107,Eylem Kulkoyluoglu-Cotul,Hande Asimgil,1,0,2,7
108,Eylem Kulkoyluoglu-Cotul,Lauren Francey,1,0,2,8
109,Eylem Kulkoyluoglu-Cotul,Aziz Sancar,1,0,2,9
110,Eylem Kulkoyluoglu-Cotul,Warren Kruger,1,0,2,10
111,Eylem Kulkoyluoglu-Cotul,John Hogenesch,1,0,2,11
112,Eylem Kulkoyluoglu-Cotul,Aalim Weljie,1,0,2,12
113,Eylem Kulkoyluoglu-Cotul,Ron Anafi,1,0,2,13
114,Eylem Kulkoyluoglu-Cotul,Ibrahim Halil Kavakli,1,0,2,14
115,Jacqueline Growe,Christopher Selby,3,0,3,4
116,Jacqueline Growe,Dania Malik,1,0,3,5
117,Jacqueline Growe,Hasimcan Oner,1,0,3,6
118,Jacqueline Growe,Hande Asimgil,1,0,3,7
119,Jacqueline Growe,Lauren Francey,3,0,3,8
120,Jacqueline Growe,Aziz Sancar,3,0,3,9
121,Jacqueline Growe,Warren Kruger,1,0,3,10
122,Jacqueline Growe,John Hogenesch,5,0,3,11
123,Jacqueline Growe,Aalim Weljie,4,0,3,12
124,Jacqueline Growe,Ron Anafi,4,0,3,13
125,Jacqueline Growe,Ibrahim Halil Kavakli,1,0,3,14
126,Jacqueline Growe,Saikumari Krishnaiah,3,0,3,61
127,Jacqueline Growe,Brian Altman,2,0,3,62
128,Jacqueline Growe,Faith Coldren,2,0,3,63
129,Jacqueline Growe,Anand Venkataraman,4,0,3,64
130,Jacqueline Growe,Anthony Olarerin-George,3,0,3,65
131,Jacqueline Growe,Sarmistha Mukherjee,2,0,3,66
132,Jacqueline Growe,Saiveda Girish,2,0,3,67
133,Jacqueline Growe,Sibel Cal,2,0,3,68
134,Jacqueline Growe,Ubeydullah Er,2,0,3,69
135,Jacqueline Growe,Bahareh Sianati,2,0,3,70
136,Jacqueline Growe,Arjun Sengupta,3,0,3,71
137,Jacqueline Growe,I Halil Kavakli,2,0,3,72
138,Jacqueline Growe,Joseph Baur,2,0,3,73
139,Jacqueline Growe,Chi Dang,2,0,3,32
140,Jacqueline Growe,Barry Slaff,1,0,3,88
141,Jacqueline Growe,Chi Van Dang,1,0,3,89
142,Christopher Selby,Dania Malik,1,0,4,5
143,Christopher Selby,Hasimcan Oner,1,0,4,6
144,Christopher Selby,Hande Asimgil,1,0,4,7
145,Christopher Selby,Lauren Francey,3,0,4,8
146,Christopher Selby,Aziz Sancar,39,0,4,9
147,Christopher Selby,Warren Kruger,1,0,4,10
148,Christopher Selby,John Hogenesch,4,0,4,11
149,Christopher Selby,Aalim Weljie,3,0,4,12
150,Christopher Selby,Ron Anafi,3,0,4,13
151,Christopher Selby,Ibrahim Halil Kavakli,1,0,4,14
152,Christopher Selby,Saikumari Krishnaiah,2,0,4,61
153,Christopher Selby,Brian Altman,2,0,4,62
154,Christopher Selby,Faith Coldren,2,0,4,63
155,Christopher Selby,Anand Venkataraman,2,0,4,64
156,Christopher Selby,Anthony Olarerin-George,2,0,4,65
157,Christopher Selby,Sarmistha Mukherjee,2,0,4,66
158,Christopher Selby,Saiveda Girish,2,0,4,67
159,Christopher Selby,Sibel Cal,2,0,4,68
160,Christopher Selby,Ubeydullah Er,2,0,4,69
161,Christopher Selby,Bahareh Sianati,2,0,4,70
162,Christopher Selby,Arjun Sengupta,2,0,4,71
163,Christopher Selby,I Halil Kavakli,3,0,4,72
164,Christopher Selby,Joseph Baur,2,0,4,73
165,Christopher Selby,Chi Dang,2,0,4,32
166,Dania Malik,Aalim Weljie,6,0,5,12
167,Dania Malik,Hasimcan Oner,1,0,5,6
168,Dania Malik,Hande Asimgil,1,0,5,7
169,Dania Malik,Lauren Francey,1,0,5,8
170,Dania Malik,Aziz Sancar,1,0,5,9
171,Dania Malik,Warren Kruger,1,0,5,10
172,Dania Malik,John Hogenesch,1,0,5,11
173,Dania Malik,Ron Anafi,1,0,5,13
174,Dania Malik,Ibrahim Halil Kavakli,1,0,5,14
175,Dania Malik,Amita Sehgal,1,0,5,31
176,Dania Malik,Pearl Lee,1,0,5,15
177,Dania Malik,Nicholas Perkons,1,0,5,16
178,Dania Malik,Peiwei Huangyang,1,0,5,17
179,Dania Malik,Sanika Khare,1,0,5,18
180,Dania Malik,Michelle Burrows,1,0,5,19
181,Dania Malik,Jennifer Finan,1,0,5,20
182,Dania Malik,Itzhak Nissim,1,0,5,21
183,Dania Malik,M Celeste Simon,1,0,5,23
184,Dania Malik,Emanuela Ricciotti,1,0,5,38
185,Dania Malik,Cecilia Castro,1,0,5,39
186,Dania Malik,Soon Yew Tang,1,0,5,40
187,Dania Malik,James West,1,0,5,42
188,Dania Malik,Xuanwen Li,1,0,5,43
189,Dania Malik,Nicholas Lahens,1,0,5,44
190,Dania Malik,Jeffrey Sparks,1,0,5,45
191,Dania Malik,Elizabeth Karlson,1,0,5,46
192,Dania Malik,Julian Griffin,1,0,5,47
193,Dania Malik,Garret FitzGerald,1,0,5,48
194,Hasimcan Oner,Hande Asimgil,1,0,6,7
195,Hasimcan Oner,Lauren Francey,1,0,6,8
196,Hasimcan Oner,Aziz Sancar,1,0,6,9
197,Hasimcan Oner,Warren Kruger,1,0,6,10
198,Hasimcan Oner,John Hogenesch,1,0,6,11
199,Hasimcan Oner,Aalim Weljie,1,0,6,12
200,Hasimcan Oner,Ron Anafi,1,0,6,13
201,Hasimcan Oner,Ibrahim Halil Kavakli,2,0,6,14
202,Hasimcan Oner,Sibel Cal,1,0,6,68
203,Hande Asimgil,Ibrahim Halil Kavakli,3,0,7,14
204,Hande Asimgil,Lauren Francey,1,0,7,8
205,Hande Asimgil,Aziz Sancar,1,0,7,9
206,Hande Asimgil,Warren Kruger,1,0,7,10
207,Hande Asimgil,John Hogenesch,1,0,7,11
208,Hande Asimgil,Aalim Weljie,1,0,7,12
209,Hande Asimgil,Ron Anafi,1,0,7,13
210,Lauren Francey,John Hogenesch,19,0,8,11
211,Lauren Francey,Aziz Sancar,4,0,8,9
212,Lauren Francey,Warren Kruger,1,0,8,10
213,Lauren Francey,Aalim Weljie,3,0,8,12
214,Lauren Francey,Ron Anafi,9,0,8,13
215,Lauren Francey,Ibrahim Halil Kavakli,1,0,8,14
216,Lauren Francey,Anand Venkataraman,4,0,8,64
217,Lauren Francey,Amita Sehgal,3,0,8,31
218,Lauren Francey,Jacob Hughey,2,0,8,33
219,Lauren Francey,Saikumari Krishnaiah,2,0,8,61
220,Lauren Francey,Brian Altman,2,0,8,62
221,Lauren Francey,Faith Coldren,2,0,8,63
222,Lauren Francey,Anthony Olarerin-George,2,0,8,65
223,Lauren Francey,Sarmistha Mukherjee,2,0,8,66
224,Lauren Francey,Saiveda Girish,2,0,8,67
225,Lauren Francey,Sibel Cal,2,0,8,68
226,Lauren Francey,Ubeydullah Er,2,0,8,69
227,Lauren Francey,Bahareh Sianati,2,0,8,70
228,Lauren Francey,Arjun Sengupta,2,0,8,71
229,Lauren Francey,I Halil Kavakli,2,0,8,72
230,Lauren Francey,Joseph Baur,2,0,8,73
231,Lauren Francey,Chi Dang,2,0,8,32
232,Lauren Francey,Garret FitzGerald,1,0,8,48
233,Aziz Sancar,Warren Kruger,1,0,9,10
234,Aziz Sancar,John Hogenesch,5,0,9,11
235,Aziz Sancar,Aalim Weljie,3,0,9,12
236,Aziz Sancar,Ron Anafi,4,0,9,13
237,Aziz Sancar,Ibrahim Halil Kavakli,2,0,9,14
238,Aziz Sancar,Garret FitzGerald,1,0,9,48
239,Aziz Sancar,Jacob Hughey,1,0,9,33
240,Aziz Sancar,Amita Sehgal,1,0,9,31
241,Aziz Sancar,Saikumari Krishnaiah,2,0,9,61
242,Aziz Sancar,Brian Altman,2,0,9,62
243,Aziz Sancar,Faith Coldren,2,0,9,63
244,Aziz Sancar,Anand Venkataraman,2,0,9,64
245,Aziz Sancar,Anthony Olarerin-George,2,0,9,65
246,Aziz Sancar,Sarmistha Mukherjee,2,0,9,66
247,Aziz Sancar,Saiveda Girish,2,0,9,67
248,Aziz Sancar,Sibel Cal,2,0,9,68
249,Aziz Sancar,Ubeydullah Er,2,0,9,69
250,Aziz Sancar,Bahareh Sianati,2,0,9,70
251,Aziz Sancar,Arjun Sengupta,2,0,9,71
252,Aziz Sancar,I Halil Kavakli,6,0,9,72
253,Aziz Sancar,Joseph Baur,2,0,9,73
254,Aziz Sancar,Chi Dang,2,0,9,32
255,Warren Kruger,John Hogenesch,1,0,10,11
256,Warren Kruger,Aalim Weljie,1,0,10,12
257,Warren Kruger,Ron Anafi,1,0,10,13
258,Warren Kruger,Ibrahim Halil Kavakli,1,0,10,14
259,John Hogenesch,Aalim Weljie,5,0,11,12
260,John Hogenesch,Ron Anafi,13,0,11,13
261,John Hogenesch,Ibrahim Halil Kavakli,3,0,11,14
