,Author,Total papers,First authors,Last authors,Citations,Max keyword,Major keyword,id
0,Seth Rhoades,17,4,0,0,metabolomics,omics,0
1,Sibel Cal-Kayitmazbatir,1,1,0,0,circadian rhythm,metabolism,1
2,Eylem Kulkoyluoglu-Cotul,5,2,0,0,breast cancer,metabolism,2
3,Jacqueline Growe,6,0,0,0,metabolomics,omics,3
4,Christopher Selby,42,4,6,0,dna damage,omics,4
5,Dania Malik,10,3,0,0,99mtc-mdp,omics,5
6,Hasimcan Oner,2,0,0,0,circadian rhythm,metabolism,6
7,Hande Asimgil,6,1,1,0,circadian rhythm,metabolism,7
8,Lauren Francey,27,2,0,0,circadian clock,systems,8
9,Aziz Sancar,177,17,115,0,dna damage,omics,9
10,Warren Kruger,75,3,34,0,homocysteine,omics,10
11,John Hogenesch,143,5,41,0,circadian clock,omics,11
12,Aalim Weljie,90,13,25,0,metabolomics,omics,12
13,Ron Anafi,22,7,1,0,gene expression,systems,13
14,Ibrahim Halil Kavakli,33,3,15,0,circadian clock,omics,14
15,Pearl Lee,48,12,1,0,elastin,mitochondria,15
16,Nicholas Perkons,12,5,0,0,hyperpolarization,cancer,16
17,Peiwei Huangyang,10,4,0,0,breast cancer,mitochondria,17
18,Sanika Khare,6,0,0,0,metabolism,metabolism,18
19,Michelle Burrows,9,0,0,0,earth and planetary astrophysics,,19
20,Jennifer Finan,2,0,0,0,,,20
21,Itzhak Nissim,50,9,10,0,metabolism,mitochondria,21
22,Terence Gade,41,1,11,0,computer vision and pattern recognition,computer,22
23,M Celeste Simon,198,8,125,0,hypoxia,mitochondria,23
24,Annie Hsieh,15,4,2,0,instrumentation and methods for astrophysics,metabolism,24
25,Xiangzhong Zheng,24,7,3,0,circadian rhythms,neuro,25
26,Zhifeng Yue,18,0,0,0,drosophila,genetics,26
27,Zachary Stine,20,6,0,0,metabolism,mitochondria,27
28,Anthony Mancuso,66,2,17,0,certification,graph,28
29,Rebekah Brooks,8,3,0,0,acidity,circadian,29
30,Robert Eisenman,78,0,37,0,myc,neuro,30
31,Amita Sehgal,132,7,102,0,drosophila,genetics,31
32,Chi Dang,161,32,75,0,metabolism,mitochondria,32
33,Jacob Hughey,36,8,11,0,circadian,systems,33
34,Darwin Fu,9,2,0,0,circadian,systems,34
35,Lisa Bastarache,81,3,2,0,electronic health record,omics,35
36,Joshua Denny,320,26,51,0,electronic health records,omics,36
37,Qingxia Chen,90,13,5,0,electronic health records,social,37
38,Emanuela Ricciotti,45,7,2,0,apoptosis,inflammation,38
39,Cecilia Castro,44,5,2,0,high energy astrophysical phenomena,systems,39
40,Soon Yew Tang,24,8,0,0,atherosclerosis,,40
41,William Briggs,124,20,17,0,high energy astrophysical phenomena,physics,41
42,James West,428,60,51,0,earth and planetary astrophysics,graph,42
43,Xuanwen Li,26,9,0,0,aspirin,inflammation,43
44,Nicholas Lahens,21,2,0,0,mouse,omics,44
45,Jeffrey Sparks,120,28,34,0,rheumatoid arthritis,omics,45
46,Elizabeth Karlson,220,14,61,0,rheumatoid arthritis,sleep,46
47,Julian Griffin,254,25,79,0,metabolomics,systems,47
48,Garret FitzGerald,189,21,116,0,inflammation,systems,48
49,Katrina Nayak,1,0,0,0,circadian clock,circadian,49
50,Shirley Zhang,50,8,1,0,astrophysics of galaxies,sleep,50
51,Carsten Skarke,37,16,2,0,alcoholic liver disease,sleep,51
52,Amy Campbell,93,31,15,0,dux4,omics,52
53,Kyle Bittinger,91,4,2,0,microbiome,mitochondria,53
54,Aubrey Bailey,27,0,0,0,microbiome,systems,54
55,Christian Hoffmann,221,56,25,0,pattern formation and solitons,systems,55
56,Randal Olson,35,17,2,0,machine learning,social,56
57,Guangrui Yang,51,9,5,0,materials science,systems,57
58,Frederic Bushman,283,19,111,0,microbiome,sleep,58
59,Casey Greene,119,19,38,0,machine learning,omics,59
60,Gregory Grant,151,25,42,0,high energy physics - experiment,omics,60
61,Saikumari Krishnaiah,8,4,0,0,metabolomics,omics,61
